,V1,V2,V3,V4,V5
1,0.233018228,0.50429318,1.112922881,1.999783301,2.608413001
2,0.27385501,0.516901331,1.095420038,1.985448819,2.601622591
3,0.260471894,0.537857547,1.102777109,1.961996084,2.537063901
4,0.242017641,0.504203419,1.092440741,2.016813676,2.584882861
5,0.230731101,0.494423787,1.120693917,1.977695148,2.636926865
6,0.283625576,0.534650511,1.121462047,1.956038454,2.608051272
7,0.259347633,0.518695265,1.118436666,1.945107245,2.593476326
8,0.231221692,0.49500982,1.107258808,1.953986132,2.605314842
9,0.194978634,0.487446584,1.137375363,2.01152957,2.664707992
10,0.25703203,0.530128561,1.095599027,1.927740223,2.570320297
11,0.23891974,0.535180217,1.114958785,1.990997831,2.548477224
12,0.202594196,0.474830147,1.095274872,1.945537388,2.532427449
13,0.182775154,0.471778603,1.093526563,2.027710684,2.655707367
14,0.231068572,0.517593601,1.078320001,1.965623316,2.547916117
15,0.213361177,0.502922775,1.097286054,1.98121093,2.590814293
16,0.210555543,0.481269812,1.082857077,1.925079248,2.556745876
17,0.194618398,0.479060673,1.077886513,1.976125274,2.589921761
18,0.246301296,0.516342475,1.068294776,2.003052706,2.670736941
19,0.235634953,0.51545146,1.078029911,1.974620907,2.593162659
20,0.232062481,0.504735897,1.102296786,1.972531091,2.610702915
21,0.180586078,0.441432635,1.052702176,1.984440345,2.590808264
22,0.25038269,0.500144537,1.067593974,1.953676371,2.604911235
23,0.226346122,0.492689688,1.074959319,1.938006085,2.584017445
24,0.227803738,0.486837298,1.062007222,1.984791844,2.653568394
25,0.219477812,0.474884141,1.058980441,1.975300305,2.606299013
26,0.262047703,0.511811919,1.075146238,1.96535777,2.624653411
27,0.229704101,0.49994422,1.080960475,1.945728855,2.598439814
28,0.224821683,0.48210511,1.052596157,1.914921497,2.573905615
29,0.202971058,0.47757896,1.061286579,1.927933199,2.55114721
30,0.250508979,0.494984359,1.042072335,1.903761948,2.539548515
31,0.252042165,0.516479846,1.043547528,1.936799421,2.582399228
32,0.23475822,0.482065445,1.020244329,1.836439792,2.460319199
33,0.217557074,0.476733763,1.008960344,1.891800645,2.497176851
34,0.248526841,0.497053682,0.994107365,1.863951309,2.485268412
35,0.257609142,0.515218284,1.037968568,1.887244573,2.547778947
36,0.243403758,0.486807516,1.022295784,1.872334729,2.52653101
37,0.235211302,0.482484722,1.013217916,1.855708614,2.472951319
38,0.270906885,0.505735887,1.018500865,1.839111316,2.482799081
39,0.271228793,0.518872474,1.043169525,1.886808998,2.562343223
40,0.243619345,0.487238689,1.044082906,1.904871257,2.543385958
41,0.241095155,0.500559464,1.033264949,1.854572816,2.428608899
42,0.284498425,0.523477102,1.046954204,1.879965592,2.527711606
43,0.258373818,0.518455149,1.036932766,1.900732606,2.592365615
44,0.264590349,0.507131501,1.018154686,1.875875014,2.544124398
45,0.247174904,0.504761777,1.040343857,1.870217191,2.522058972
46,0.299605492,0.529659709,1.022938751,1.851947148,2.469262863
47,0.2768352,0.515169013,1.024716142,1.842828044,2.457104058
48,0.253408425,0.506816849,1.013633698,1.855764798,2.477215171
49,0.253122178,0.507720903,1.01409182,1.880052323,2.550585629
50,0.271493213,0.513748695,1.008701706,1.846153846,2.474765054
51,0.258199738,0.523413212,1.046826425,1.90712513,2.617066062
52,0.223628867,0.490414182,1.039260692,1.878181973,2.550153746
