DATE,Lsh
1989,62.7
1989.25,61.9
1989.5,61.7
1989.75,62.3
1990,62.4
1990.25,62.5
1990.5,62.6
1990.75,63.1
1991,62.8
1991.25,62.6
1991.5,62.4
1991.75,62.7
1992,62.9
1992.25,62.7
1992.5,62.6
1992.75,62.2
1993,61.7
1993.25,62.2
1993.5,61.8
1993.75,61.7
1994,60.9
1994.25,61.1
1994.5,61
1994.75,60.6
1995,60.7
1995.25,60.6
1995.5,60.7
1995.75,60.7
1996,60.8
1996.25,60.5
1996.5,60.6
1996.75,60.5
1997,60.9
1997.25,60.4
1997.5,60.4
1997.75,61.1
1998,61.7
1998.25,62.1
1998.5,62.1
1998.75,61.9
1999,62.1
1999.25,62
1999.5,61.8
1999.75,61.8
2000,63.9
2000.25,62.5
2000.5,63.4
2000.75,62.8
2001,64.3
2001.25,63
2001.5,62.8
2001.75,62.4
